Unnamed: 0,time_period,rainfall,mean_temperature,disease_cases,population,location,month,ID_year
0,2001-01,251.111,24.32,102.0,629267.026130676,Acre,1,2001
1,2001-02,230.194,24.6,102.0,629267.026130676,Acre,2,2001
2,2001-03,247.572,24.59,115.0,629267.026130676,Acre,3,2001
3,2001-04,194.169,24.62,78.0,629267.026130676,Acre,4,2001
4,2001-05,97.685,24.15,36.0,629267.026130676,Acre,5,2001
5,2001-06,60.546,22.42,32.0,629267.026130676,Acre,6,2001
6,2001-07,86.882,23.53,7.0,629267.026130676,Acre,7,2001
7,2001-08,37.802,25.65,8.0,629267.026130676,Acre,8,2001
8,2001-09,125.288,25.15,8.0,629267.026130676,Acre,9,2001
9,2001-10,177.126,25.83,22.0,629267.026130676,Acre,10,2001
10,2001-11,206.037,25.36,172.0,629267.026130676,Acre,11,2001
11,2001-12,308.816,24.93,196.0,629267.026130676,Acre,12,2001
12,2002-01,226.946,25.39,81.0,636229.145576477,Acre,1,2002
13,2002-02,262.303,25.02,170.0,636229.145576477,Acre,2,2002
14,2002-03,238.798,25.14,316.0,636229.145576477,Acre,3,2002
15,2002-04,216.697,24.65,72.0,636229.145576477,Acre,4,2002
16,2002-05,125.554,24.6,36.0,636229.145576477,Acre,5,2002
17,2002-06,62.513,23.54,24.0,636229.145576477,Acre,6,2002
18,2002-07,87.491,23.73,19.0,636229.145576477,Acre,7,2002
19,2002-08,82.58,25.43,12.0,636229.145576477,Acre,8,2002
20,2002-09,108.764,25.54,14.0,636229.145576477,Acre,9,2002
21,2002-10,153.82,25.98,18.0,636229.145576477,Acre,10,2002
22,2002-11,191.571,25.24,91.0,636229.145576477,Acre,11,2002
23,2002-12,271.847,25.14,98.0,636229.145576477,Acre,12,2002
24,2003-01,273.5,25.38,240.0,643180.355430603,Acre,1,2003
25,2003-02,250.476,25.02,288.0,643180.355430603,Acre,2,2003
26,2003-03,231.799,24.88,171.0,643180.355430603,Acre,3,2003
27,2003-04,197.785,24.58,98.0,643180.355430603,Acre,4,2003
28,2003-05,123.78,24.28,47.0,643180.355430603,Acre,5,2003
29,2003-06,73.252,24.0,39.0,643180.355430603,Acre,6,2003
30,2003-07,22.247,24.4,17.0,643180.355430603,Acre,7,2003
31,2003-08,72.341,24.54,7.0,643180.355430603,Acre,8,2003
32,2003-09,144.756,24.91,8.0,643180.355430603,Acre,9,2003
33,2003-10,148.788,25.72,27.0,643180.355430603,Acre,10,2003
34,2003-11,192.608,25.21,53.0,643180.355430603,Acre,11,2003
35,2003-12,247.661,25.34,57.0,643180.355430603,Acre,12,2003
36,2004-01,222.19,25.41,89.0,650120.713470459,Acre,1,2004
37,2004-02,177.339,25.15,143.0,650120.713470459,Acre,2,2004
38,2004-03,267.115,25.05,61.0,650120.713470459,Acre,3,2004
39,2004-04,128.891,24.98,36.0,650120.713470459,Acre,4,2004
40,2004-05,72.403,23.12,67.0,650120.713470459,Acre,5,2004
41,2004-06,74.142,23.26,53.0,650120.713470459,Acre,6,2004
42,2004-07,78.683,23.35,46.0,650120.713470459,Acre,7,2004
43,2004-08,97.868,24.27,42.0,650120.713470459,Acre,8,2004
44,2004-09,107.052,25.25,95.0,650120.713470459,Acre,9,2004
45,2004-10,222.012,25.28,400.0,650120.713470459,Acre,10,2004
46,2004-11,217.384,24.99,2007.0,650120.713470459,Acre,11,2004
47,2004-12,267.937,25.01,1505.0,650120.713470459,Acre,12,2004
48,2005-01,210.048,25.69,1469.0,657050.253517151,Acre,1,2005
49,2005-02,260.84,25.1,486.0,657050.253517151,Acre,2,2005
50,2005-03,243.529,25.23,183.0,657050.253517151,Acre,3,2005
51,2005-04,191.318,24.64,49.0,657050.253517151,Acre,4,2005
52,2005-05,107.63,24.68,16.0,657050.253517151,Acre,5,2005
53,2005-06,50.406,24.56,15.0,657050.253517151,Acre,6,2005
54,2005-07,20.202,24.4,10.0,657050.253517151,Acre,7,2005
55,2005-08,51.964,26.2,5.0,657050.253517151,Acre,8,2005
56,2005-09,71.689,26.17,0.0,657050.253517151,Acre,9,2005
57,2005-10,230.567,25.51,6.0,657050.253517151,Acre,10,2005
58,2005-11,201.977,25.42,26.0,657050.253517151,Acre,11,2005
59,2005-12,229.801,25.18,262.0,657050.253517151,Acre,12,2005
60,2006-01,240.574,25.03,81.0,664251.694023767,Acre,1,2006
61,2006-02,246.254,25.08,38.0,664251.694023767,Acre,2,2006
62,2006-03,233.736,25.12,28.0,664251.694023767,Acre,3,2006
63,2006-04,176.17,24.46,31.0,664251.694023767,Acre,4,2006
64,2006-05,49.08,23.55,10.0,664251.694023767,Acre,5,2006
65,2006-06,68.151,24.37,11.0,664251.694023767,Acre,6,2006
66,2006-07,35.718,25.42,5.0,664251.694023767,Acre,7,2006
67,2006-08,49.542,26.22,2.0,664251.694023767,Acre,8,2006
68,2006-09,118.979,26.02,5.0,664251.694023767,Acre,9,2006
69,2006-10,223.299,25.76,14.0,664251.694023767,Acre,10,2006
70,2006-11,215.812,25.29,224.0,664251.694023767,Acre,11,2006
71,2006-12,234.219,25.23,196.0,664251.694023767,Acre,12,2006
72,2007-01,226.277,25.59,127.0,671181.315452438,Acre,1,2007
73,2007-02,177.236,25.93,138.0,671181.315452438,Acre,2,2007
74,2007-03,281.256,24.95,116.0,671181.315452438,Acre,3,2007
75,2007-04,186.837,24.7,101.0,671181.315452438,Acre,4,2007
76,2007-05,117.578,23.32,46.0,671181.315452438,Acre,5,2007
77,2007-06,20.816,24.57,8.0,671181.315452438,Acre,6,2007
78,2007-07,71.698,24.06,2.0,671181.315452438,Acre,7,2007
79,2007-08,38.381,25.83,3.0,671181.315452438,Acre,8,2007
80,2007-09,123.212,26.04,3.0,671181.315452438,Acre,9,2007
81,2007-10,198.869,25.6,10.0,671181.315452438,Acre,10,2007
82,2007-11,237.345,25.02,62.0,671181.315452438,Acre,11,2007
83,2007-12,295.632,24.84,71.0,671181.315452438,Acre,12,2007
84,2008-01,268.907,24.78,80.0,677888.539453698,Acre,1,2008
85,2008-02,266.329,24.71,141.0,677888.539453698,Acre,2,2008
86,2008-03,313.923,24.18,176.0,677888.539453698,Acre,3,2008
87,2008-04,210.042,24.4,189.0,677888.539453698,Acre,4,2008
88,2008-05,87.844,23.59,101.0,677888.539453698,Acre,5,2008
89,2008-06,42.102,23.27,31.0,677888.539453698,Acre,6,2008
90,2008-07,33.674,25.1,20.0,677888.539453698,Acre,7,2008
91,2008-08,44.556,26.43,46.0,677888.539453698,Acre,8,2008
92,2008-09,116.758,26.12,86.0,677888.539453698,Acre,9,2008
93,2008-10,179.166,25.87,99.0,677888.539453698,Acre,10,2008
94,2008-11,246.543,25.36,336.0,677888.539453698,Acre,11,2008
95,2008-12,296.618,24.94,643.0,677888.539453698,Acre,12,2008
96,2009-01,305.611,24.77,2919.0,684443.968385456,Acre,1,2009
97,2009-02,279.212,24.87,6004.0,684443.968385456,Acre,2,2009
98,2009-03,353.241,24.64,5001.0,684443.968385456,Acre,3,2009
99,2009-04,284.756,24.3,1376.0,684443.968385456,Acre,4,2009
100,2009-05,165.102,24.32,711.0,684443.968385456,Acre,5,2009
101,2009-06,69.543,23.32,253.0,684443.968385456,Acre,6,2009
102,2009-07,66.02,23.87,119.0,684443.968385456,Acre,7,2009
103,2009-08,65.326,25.57,91.0,684443.968385456,Acre,8,2009
104,2009-09,93.039,26.23,77.0,684443.968385456,Acre,9,2009
105,2009-10,148.198,26.39,161.0,684443.968385456,Acre,10,2009
106,2009-11,205.5,26.16,479.0,684443.968385456,Acre,11,2009
107,2009-12,314.24,25.2,1281.0,684443.968385456,Acre,12,2009
108,2010-01,217.414,25.68,3962.0,690893.493780353,Acre,1,2010
109,2010-02,274.036,25.97,7715.0,690893.493780353,Acre,2,2010
110,2010-03,247.647,25.92,6103.0,690893.493780353,Acre,3,2010
111,2010-04,121.531,25.77,3039.0,690893.493780353,Acre,4,2010
112,2010-05,106.99,24.4,1424.0,690893.493780353,Acre,5,2010
113,2010-06,30.499,24.82,849.0,690893.493780353,Acre,6,2010
114,2010-07,33.44,24.4,793.0,690893.493780353,Acre,7,2010
115,2010-08,24.28,26.63,426.0,690893.493780353,Acre,8,2010
116,2010-09,76.572,27.01,610.0,690893.493780353,Acre,9,2010
117,2010-10,217.882,26.0,1033.0,690893.493780353,Acre,10,2010
118,2010-11,241.231,25.1,3022.0,690893.493780353,Acre,11,2010
119,2010-12,190.48,25.35,5515.0,690893.493780353,Acre,12,2010
120,2011-01,236.757,25.0,8492.0,697251.236109968,Acre,1,2011
121,2011-02,258.259,24.63,4707.0,697251.236109968,Acre,2,2011
122,2011-03,321.717,24.49,2927.0,697251.236109968,Acre,3,2011
123,2011-04,204.158,24.58,1249.0,697251.236109968,Acre,4,2011
124,2011-05,85.352,24.14,334.0,697251.236109968,Acre,5,2011
125,2011-06,60.731,24.44,121.0,697251.236109968,Acre,6,2011
126,2011-07,35.683,24.75,55.0,697251.236109968,Acre,7,2011
127,2011-08,47.933,25.63,54.0,697251.236109968,Acre,8,2011
128,2011-09,145.121,26.03,38.0,697251.236109968,Acre,9,2011
129,2011-10,214.633,25.25,59.0,697251.236109968,Acre,10,2011
130,2011-11,201.393,25.49,49.0,697251.236109968,Acre,11,2011
131,2011-12,283.835,24.97,716.0,697251.236109968,Acre,12,2011
132,2012-01,306.511,24.71,393.0,703506.605020617,Acre,1,2012
133,2012-02,290.941,24.42,379.0,703506.605020617,Acre,2,2012
134,2012-03,301.756,24.55,201.0,703506.605020617,Acre,3,2012
135,2012-04,258.084,24.68,165.0,703506.605020617,Acre,4,2012
136,2012-05,121.748,24.17,168.0,703506.605020617,Acre,5,2012
137,2012-06,74.151,23.62,90.0,703506.605020617,Acre,6,2012
138,2012-07,25.579,24.12,67.0,703506.605020617,Acre,7,2012
139,2012-08,37.871,25.95,51.0,703506.605020617,Acre,8,2012
140,2012-09,115.208,26.36,39.0,703506.605020617,Acre,9,2012
141,2012-10,186.395,25.55,111.0,703506.605020617,Acre,10,2012
142,2012-11,272.71,25.62,280.0,703506.605020617,Acre,11,2012
143,2012-12,297.785,24.84,501.0,703506.605020617,Acre,12,2012
144,2013-01,324.667,25.07,714.0,709680.781219672,Acre,1,2013
145,2013-02,318.066,24.91,584.0,709680.781219672,Acre,2,2013
146,2013-03,336.252,24.99,437.0,709680.781219672,Acre,3,2013
147,2013-04,117.427,25.19,204.0,709680.781219672,Acre,4,2013
148,2013-05,113.301,24.63,95.0,709680.781219672,Acre,5,2013
149,2013-06,102.461,24.33,82.0,709680.781219672,Acre,6,2013
150,2013-07,43.859,23.74,71.0,709680.781219672,Acre,7,2013
151,2013-08,66.639,24.26,21.0,709680.781219672,Acre,8,2013
152,2013-09,108.458,25.63,23.0,709680.781219672,Acre,9,2013
153,2013-10,209.41,25.3,21.0,709680.781219672,Acre,10,2013
154,2013-11,240.909,25.05,74.0,709680.781219672,Acre,11,2013
155,2013-12,237.702,25.41,105.0,709680.781219672,Acre,12,2013
156,2014-01,321.821,24.56,330.0,715780.824942924,Acre,1,2014
157,2014-02,281.842,24.64,126.0,715780.824942924,Acre,2,2014
158,2014-03,293.87,24.65,203.0,715780.824942924,Acre,3,2014
159,2014-04,223.282,24.69,293.0,715780.824942924,Acre,4,2014
160,2014-05,132.623,24.0,439.0,715780.824942924,Acre,5,2014
161,2014-06,72.219,23.89,428.0,715780.824942924,Acre,6,2014
162,2014-07,53.068,23.62,609.0,715780.824942924,Acre,7,2014
163,2014-08,85.662,24.84,1679.0,715780.824942924,Acre,8,2014
164,2014-09,124.432,25.99,7091.0,715780.824942924,Acre,9,2014
165,2014-10,206.418,25.53,8059.0,715780.824942924,Acre,10,2014
166,2014-11,283.96,24.99,5626.0,715780.824942924,Acre,11,2014
167,2014-12,277.762,25.0,3767.0,715780.824942924,Acre,12,2014
168,2015-01,336.277,24.28,2334.0,721810.266308267,Acre,1,2015
169,2015-02,287.955,24.97,1452.0,721810.266308267,Acre,2,2015
170,2015-03,333.485,24.76,929.0,721810.266308267,Acre,3,2015
171,2015-04,267.523,24.58,342.0,721810.266308267,Acre,4,2015
172,2015-05,187.802,24.09,245.0,721810.266308267,Acre,5,2015
173,2015-06,69.643,24.19,224.0,721810.266308267,Acre,6,2015
174,2015-07,52.826,24.4,114.0,721810.266308267,Acre,7,2015
175,2015-08,64.388,26.55,55.0,721810.266308267,Acre,8,2015
176,2015-09,82.956,26.91,71.0,721810.266308267,Acre,9,2015
177,2015-10,130.737,26.94,80.0,721810.266308267,Acre,10,2015
178,2015-11,212.699,26.1,88.0,721810.266308267,Acre,11,2015
179,2015-12,204.918,25.92,162.0,721810.266308267,Acre,12,2015
180,2016-01,212.224,26.35,270.0,727779.695669389,Acre,1,2016
181,2016-02,269.139,25.73,445.0,727779.695669389,Acre,2,2016
182,2016-03,273.161,25.55,354.0,727779.695669389,Acre,3,2016
183,2016-04,163.655,25.29,244.0,727779.695669389,Acre,4,2016
184,2016-05,103.626,24.58,115.0,727779.695669389,Acre,5,2016
185,2016-06,41.121,23.98,70.0,727779.695669389,Acre,6,2016
186,2016-07,20.072,25.62,68.0,727779.695669389,Acre,7,2016
187,2016-08,76.28,26.35,46.0,727779.695669389,Acre,8,2016
188,2016-09,143.498,25.6,43.0,727779.695669389,Acre,9,2016
189,2016-10,186.362,25.68,42.0,727779.695669389,Acre,10,2016
190,2016-11,205.542,25.47,65.0,727779.695669389,Acre,11,2016
191,2016-12,247.881,25.39,103.0,727779.695669389,Acre,12,2016
192,2017-01,386.534,24.44,253.0,733678.522672603,Acre,1,2017
193,2017-02,271.348,24.89,251.0,733678.522672603,Acre,2,2017
194,2017-03,301.901,24.82,212.0,733678.522672603,Acre,3,2017
195,2017-04,202.661,24.88,162.0,733678.522672603,Acre,4,2017
196,2017-05,149.251,24.93,90.0,733678.522672603,Acre,5,2017
197,2017-06,57.723,23.92,65.0,733678.522672603,Acre,6,2017
0,2001-01,33.255,25.56,658.0,1678325.5078125,Alagoas,1,2001
1,2001-02,27.669,26.58,658.0,1678325.5078125,Alagoas,2,2001
2,2001-03,61.591,25.91,1958.0,1678325.5078125,Alagoas,3,2001
3,2001-04,43.929,25.25,3153.0,1678325.5078125,Alagoas,4,2001
4,2001-05,36.079,25.33,2886.0,1678325.5078125,Alagoas,5,2001
5,2001-06,124.344,22.95,628.0,1678325.5078125,Alagoas,6,2001
6,2001-07,103.309,22.41,139.0,1678325.5078125,Alagoas,7,2001
7,2001-08,75.879,21.97,114.0,1678325.5078125,Alagoas,8,2001
8,2001-09,43.946,23.59,118.0,1678325.5078125,Alagoas,9,2001
9,2001-10,52.355,24.79,178.0,1678325.5078125,Alagoas,10,2001
10,2001-11,20.305,25.91,439.0,1678325.5078125,Alagoas,11,2001
11,2001-12,56.527,25.97,882.0,1678325.5078125,Alagoas,12,2001
12,2002-01,125.603,24.95,4457.0,1693094.203125,Alagoas,1,2002
13,2002-02,72.908,25.52,4855.0,1693094.203125,Alagoas,2,2002
14,2002-03,69.623,25.59,4111.0,1693094.203125,Alagoas,3,2002
15,2002-04,61.058,25.26,1943.0,1693094.203125,Alagoas,4,2002
16,2002-05,101.123,24.26,656.0,1693094.203125,Alagoas,5,2002
17,2002-06,161.556,22.81,229.0,1693094.203125,Alagoas,6,2002
18,2002-07,75.618,22.68,160.0,1693094.203125,Alagoas,7,2002
19,2002-08,71.353,22.23,148.0,1693094.203125,Alagoas,8,2002
20,2002-09,31.554,23.82,163.0,1693094.203125,Alagoas,9,2002
21,2002-10,33.814,24.62,148.0,1693094.203125,Alagoas,10,2002
22,2002-11,26.948,25.82,202.0,1693094.203125,Alagoas,11,2002
23,2002-12,34.679,26.76,383.0,1693094.203125,Alagoas,12,2002
24,2003-01,55.754,27.3,677.0,1707744.796875,Alagoas,1,2003
25,2003-02,50.087,26.07,919.0,1707744.796875,Alagoas,2,2003
26,2003-03,78.787,26.12,909.0,1707744.796875,Alagoas,3,2003
27,2003-04,38.554,26.27,832.0,1707744.796875,Alagoas,4,2003
28,2003-05,63.304,25.05,937.0,1707744.796875,Alagoas,5,2003
29,2003-06,84.123,23.48,657.0,1707744.796875,Alagoas,6,2003
30,2003-07,65.095,22.63,451.0,1707744.796875,Alagoas,7,2003
31,2003-08,47.507,23.23,253.0,1707744.796875,Alagoas,8,2003
32,2003-09,55.189,23.87,219.0,1707744.796875,Alagoas,9,2003
33,2003-10,41.301,24.88,254.0,1707744.796875,Alagoas,10,2003
34,2003-11,34.986,25.98,399.0,1707744.796875,Alagoas,11,2003
35,2003-12,22.743,26.8,468.0,1707744.796875,Alagoas,12,2003
36,2004-01,259.481,25.61,879.0,1722277.21875,Alagoas,1,2004
37,2004-02,96.29,25.35,609.0,1722277.21875,Alagoas,2,2004
38,2004-03,39.594,25.97,681.0,1722277.21875,Alagoas,3,2004
39,2004-04,50.893,25.69,642.0,1722277.21875,Alagoas,4,2004
40,2004-05,66.98,24.62,579.0,1722277.21875,Alagoas,5,2004
41,2004-06,162.329,22.77,186.0,1722277.21875,Alagoas,6,2004
42,2004-07,112.721,22.05,117.0,1722277.21875,Alagoas,7,2004
43,2004-08,69.322,22.4,108.0,1722277.21875,Alagoas,8,2004
44,2004-09,65.776,22.9,74.0,1722277.21875,Alagoas,9,2004
45,2004-10,26.28,24.94,133.0,1722277.21875,Alagoas,10,2004
46,2004-11,19.581,26.02,103.0,1722277.21875,Alagoas,11,2004
47,2004-12,12.506,26.78,195.0,1722277.21875,Alagoas,12,2004
48,2005-01,16.009,27.58,125.0,1736691.28125,Alagoas,1,2005
49,2005-02,44.28,27.12,504.0,1736691.28125,Alagoas,2,2005
50,2005-03,87.622,27.06,418.0,1736691.28125,Alagoas,3,2005
51,2005-04,53.972,25.51,425.0,1736691.28125,Alagoas,4,2005
52,2005-05,134.021,24.24,390.0,1736691.28125,Alagoas,5,2005
53,2005-06,126.931,23.28,234.0,1736691.28125,Alagoas,6,2005
54,2005-07,98.623,22.17,115.0,1736691.28125,Alagoas,7,2005
55,2005-08,82.468,22.26,114.0,1736691.28125,Alagoas,8,2005
56,2005-09,44.073,23.66,80.0,1736691.28125,Alagoas,9,2005
57,2005-10,28.668,24.97,92.0,1736691.28125,Alagoas,10,2005
58,2005-11,15.939,26.27,137.0,1736691.28125,Alagoas,11,2005
59,2005-12,63.592,25.82,135.0,1736691.28125,Alagoas,12,2005
60,2006-01,29.714,25.91,383.0,1755725.86631154,Alagoas,1,2006
61,2006-02,27.389,27.23,431.0,1755725.86631154,Alagoas,2,2006
62,2006-03,68.196,26.93,712.0,1755725.86631154,Alagoas,3,2006
63,2006-04,93.645,25.67,1080.0,1755725.86631154,Alagoas,4,2006
64,2006-05,120.595,24.2,671.0,1755725.86631154,Alagoas,5,2006
65,2006-06,146.901,22.69,287.0,1755725.86631154,Alagoas,6,2006
66,2006-07,118.663,22.06,216.0,1755725.86631154,Alagoas,7,2006
67,2006-08,56.906,22.49,180.0,1755725.86631154,Alagoas,8,2006
68,2006-09,38.489,23.69,115.0,1755725.86631154,Alagoas,9,2006
69,2006-10,29.298,25.24,162.0,1755725.86631154,Alagoas,10,2006
70,2006-11,26.52,26.19,463.0,1755725.86631154,Alagoas,11,2006
71,2006-12,19.608,26.84,1054.0,1755725.86631154,Alagoas,12,2006
72,2007-01,24.923,27.03,12584.0,1774041.9890938,Alagoas,1,2007
73,2007-02,155.677,26.23,16456.0,1774041.9890938,Alagoas,2,2007
74,2007-03,85.654,25.0,12696.0,1774041.9890938,Alagoas,3,2007
75,2007-04,66.339,25.26,4799.0,1774041.9890938,Alagoas,4,2007
76,2007-05,88.205,24.02,1973.0,1774041.9890938,Alagoas,5,2007
77,2007-06,102.652,22.94,906.0,1774041.9890938,Alagoas,6,2007
78,2007-07,79.088,22.3,1090.0,1774041.9890938,Alagoas,7,2007
79,2007-08,90.187,21.97,729.0,1774041.9890938,Alagoas,8,2007
80,2007-09,68.089,22.46,426.0,1774041.9890938,Alagoas,9,2007
81,2007-10,37.193,24.09,373.0,1774041.9890938,Alagoas,10,2007
82,2007-11,17.637,25.76,334.0,1774041.9890938,Alagoas,11,2007
83,2007-12,24.982,26.12,703.0,1774041.9890938,Alagoas,12,2007
84,2008-01,35.985,26.11,418.0,1791770.27910211,Alagoas,1,2008
85,2008-02,63.279,26.75,486.0,1791770.27910211,Alagoas,2,2008
86,2008-03,165.232,25.35,930.0,1791770.27910211,Alagoas,3,2008
87,2008-04,75.679,25.02,3051.0,1791770.27910211,Alagoas,4,2008
88,2008-05,130.282,23.94,1854.0,1791770.27910211,Alagoas,5,2008
89,2008-06,86.272,22.57,533.0,1791770.27910211,Alagoas,6,2008
90,2008-07,98.313,21.82,194.0,1791770.27910211,Alagoas,7,2008
91,2008-08,88.604,22.17,152.0,1791770.27910211,Alagoas,8,2008
92,2008-09,36.521,23.76,97.0,1791770.27910211,Alagoas,9,2008
93,2008-10,43.22,24.62,120.0,1791770.27910211,Alagoas,10,2008
94,2008-11,9.647,26.3,134.0,1791770.27910211,Alagoas,11,2008
95,2008-12,17.207,26.88,114.0,1791770.27910211,Alagoas,12,2008
96,2009-01,27.532,26.93,234.0,1809097.34991548,Alagoas,1,2009
97,2009-02,85.438,26.09,408.0,1809097.34991548,Alagoas,2,2009
98,2009-03,53.659,26.65,739.0,1809097.34991548,Alagoas,3,2009
99,2009-04,84.645,26.22,546.0,1809097.34991548,Alagoas,4,2009
100,2009-05,277.905,23.94,526.0,1809097.34991548,Alagoas,5,2009
101,2009-06,96.927,23.43,307.0,1809097.34991548,Alagoas,6,2009
102,2009-07,92.059,22.71,215.0,1809097.34991548,Alagoas,7,2009
103,2009-08,98.17,22.64,241.0,1809097.34991548,Alagoas,8,2009
104,2009-09,31.16,23.93,167.0,1809097.34991548,Alagoas,9,2009
105,2009-10,20.422,25.88,213.0,1809097.34991548,Alagoas,10,2009
106,2009-11,14.403,26.19,512.0,1809097.34991548,Alagoas,11,2009
107,2009-12,40.254,26.7,1489.0,1809097.34991548,Alagoas,12,2009
108,2010-01,68.525,25.94,6859.0,1826144.50036031,Alagoas,1,2010
109,2010-02,50.955,26.67,10277.0,1826144.50036031,Alagoas,2,2010
110,2010-03,37.643,27.52,14345.0,1826144.50036031,Alagoas,3,2010
111,2010-04,189.813,25.58,11854.0,1826144.50036031,Alagoas,4,2010
112,2010-05,58.791,24.97,6969.0,1826144.50036031,Alagoas,5,2010
113,2010-06,175.966,23.28,3163.0,1826144.50036031,Alagoas,6,2010
114,2010-07,88.176,22.5,2010.0,1826144.50036031,Alagoas,7,2010
115,2010-08,59.636,21.96,1248.0,1826144.50036031,Alagoas,8,2010
116,2010-09,64.96,22.75,871.0,1826144.50036031,Alagoas,9,2010
117,2010-10,54.685,25.2,659.0,1826144.50036031,Alagoas,10,2010
118,2010-11,14.509,25.95,805.0,1826144.50036031,Alagoas,11,2010
119,2010-12,39.527,26.32,1148.0,1826144.50036031,Alagoas,12,2010
120,2011-01,71.302,25.86,1078.0,1842949.05315238,Alagoas,1,2011
121,2011-02,65.717,25.94,1315.0,1842949.05315238,Alagoas,2,2011
122,2011-03,48.674,26.8,1659.0,1842949.05315238,Alagoas,3,2011
123,2011-04,162.977,25.22,1488.0,1842949.05315238,Alagoas,4,2011
124,2011-05,193.854,23.64,1141.0,1842949.05315238,Alagoas,5,2011
125,2011-06,83.195,23.03,654.0,1842949.05315238,Alagoas,6,2011
126,2011-07,192.181,22.06,359.0,1842949.05315238,Alagoas,7,2011
127,2011-08,54.96,22.4,392.0,1842949.05315238,Alagoas,8,2011
128,2011-09,62.024,22.53,364.0,1842949.05315238,Alagoas,9,2011
129,2011-10,45.151,24.54,401.0,1842949.05315238,Alagoas,10,2011
130,2011-11,63.468,24.89,274.0,1842949.05315238,Alagoas,11,2011
131,2011-12,19.886,26.09,190.0,1842949.05315238,Alagoas,12,2011
132,2012-01,55.847,25.66,1652.0,1859483.01625486,Alagoas,1,2012
133,2012-02,48.368,25.52,1673.0,1859483.01625486,Alagoas,2,2012
134,2012-03,32.159,25.85,2667.0,1859483.01625486,Alagoas,3,2012
135,2012-04,23.154,25.71,3109.0,1859483.01625486,Alagoas,4,2012
136,2012-05,43.609,24.78,2754.0,1859483.01625486,Alagoas,5,2012
137,2012-06,59.869,23.59,1507.0,1859483.01625486,Alagoas,6,2012
138,2012-07,66.403,22.29,1255.0,1859483.01625486,Alagoas,7,2012
139,2012-08,60.064,21.99,883.0,1859483.01625486,Alagoas,8,2012
140,2012-09,31.338,23.32,596.0,1859483.01625486,Alagoas,9,2012
141,2012-10,30.836,24.1,420.0,1859483.01625486,Alagoas,10,2012
142,2012-11,10.6,26.45,559.0,1859483.01625486,Alagoas,11,2012
143,2012-12,16.52,26.46,2309.0,1859483.01625486,Alagoas,12,2012
144,2013-01,24.237,26.95,17503.0,1875802.37374145,Alagoas,1,2013
145,2013-02,20.807,26.85,13832.0,1875802.37374145,Alagoas,2,2013
146,2013-03,23.964,27.1,6169.0,1875802.37374145,Alagoas,3,2013
147,2013-04,72.23,26.44,3258.0,1875802.37374145,Alagoas,4,2013
148,2013-05,77.965,24.43,2159.0,1875802.37374145,Alagoas,5,2013
149,2013-06,61.4,23.81,1416.0,1875802.37374145,Alagoas,6,2013
150,2013-07,152.796,22.65,1257.0,1875802.37374145,Alagoas,7,2013
151,2013-08,65.818,22.59,740.0,1875802.37374145,Alagoas,8,2013
152,2013-09,44.268,23.62,701.0,1875802.37374145,Alagoas,9,2013
153,2013-10,67.856,24.47,792.0,1875802.37374145,Alagoas,10,2013
154,2013-11,42.489,25.07,808.0,1875802.37374145,Alagoas,11,2013
155,2013-12,43.661,26.31,683.0,1875802.37374145,Alagoas,12,2013
156,2014-01,31.732,26.07,759.0,1891925.78697005,Alagoas,1,2014
157,2014-02,41.234,25.88,828.0,1891925.78697005,Alagoas,2,2014
158,2014-03,58.821,26.07,1090.0,1891925.78697005,Alagoas,3,2014
159,2014-04,88.865,25.85,1569.0,1891925.78697005,Alagoas,4,2014
160,2014-05,100.133,24.2,1941.0,1891925.78697005,Alagoas,5,2014
161,2014-06,80.363,23.29,1350.0,1891925.78697005,Alagoas,6,2014
162,2014-07,84.025,22.64,1316.0,1891925.78697005,Alagoas,7,2014
163,2014-08,66.229,22.3,872.0,1891925.78697005,Alagoas,8,2014
164,2014-09,57.834,23.4,598.0,1891925.78697005,Alagoas,9,2014
165,2014-10,81.359,23.96,504.0,1891925.78697005,Alagoas,10,2014
166,2014-11,95.728,25.24,392.0,1891925.78697005,Alagoas,11,2014
167,2014-12,36.89,25.42,389.0,1891925.78697005,Alagoas,12,2014
168,2015-01,30.252,26.09,1203.0,1907862.58661962,Alagoas,1,2015
169,2015-02,62.402,26.15,1648.0,1907862.58661962,Alagoas,2,2015
170,2015-03,48.123,26.36,4943.0,1907862.58661962,Alagoas,3,2015
171,2015-04,26.921,26.85,6032.0,1907862.58661962,Alagoas,4,2015
172,2015-05,59.344,25.39,4604.0,1907862.58661962,Alagoas,5,2015
173,2015-06,91.233,23.66,2817.0,1907862.58661962,Alagoas,6,2015
174,2015-07,94.195,22.84,1990.0,1907862.58661962,Alagoas,7,2015
175,2015-08,52.979,22.74,1465.0,1907862.58661962,Alagoas,8,2015
176,2015-09,28.287,24.22,1780.0,1907862.58661962,Alagoas,9,2015
177,2015-10,21.944,25.24,2611.0,1907862.58661962,Alagoas,10,2015
178,2015-11,10.556,26.83,4515.0,1907862.58661962,Alagoas,11,2015
179,2015-12,27.721,26.66,6903.0,1907862.58661962,Alagoas,12,2015
180,2016-01,88.629,26.45,12829.0,1923640.76472701,Alagoas,1,2016
181,2016-02,42.645,26.32,10428.0,1923640.76472701,Alagoas,2,2016
182,2016-03,51.253,26.73,8636.0,1923640.76472701,Alagoas,3,2016
